No	Name		Year	Country	Score	Lasting
1	摔跤吧！爸爸	2017	印度	9.8	 140
2	战狼2		2017	中国大陆	9.7	 123
3	速度与激情7	2015	美国	9.6	 137
4	我不是药神	2018	中国大陆	9.6	 117
5	寻梦环游记	2017	美国	9.6	 105
6	厉害了，我的国	2018	中国大陆	9.6	 90
7	火力全开		2017	中国台湾	9.6	 86
8	大话西游之月光宝盒	2014	中国香港	9.6	 87
9	在刺刀和藩篱下	2015	中国大陆	9.6	 85
10	疯狂动物城	2016	美国	9.5	 109
11	超能陆战队	2015	美国	9.5	 102
12	小萝莉的猴神大叔	2018	印度	9.5	 141
13	冰雪奇缘		2014	美国	9.5	 102
14	疯狂原始人	2013	美国	9.5	 98
15	海王		2018	美国	9.4	 143
16	红海行动		2018	中国大陆	9.4	 138
17	白蛇：缘起	2019	中国大陆	9.4	 99
18	星际穿越		2014	美国	9.4	 169
19	嗝嗝老师		2018	印度	9.4	 117
20	看不见的客人	2017	西班牙	9.4	 107
21	大寒		2018	中国大陆	9.4	 110
22	速度与激情8	2017	美国	9.3	 136
23	火影忍者剧场版：博人传	2016	日本	9.3	 96
24	湄公河行动	2016	中国大陆	9.3	 124
25	缝纫机乐队	2017	中国大陆	9.3	 117
26	神秘巨星	2018	印度	9.3	 150
27	驯龙高手2	2014	美国	9.3	 102
28	传奇的诞生	2018	美国	9.3	 107
29	模仿游戏	2015	英国	9.3	 114
30	血战钢锯岭	2016	美国	9.3	 139
31	功夫3D	2015	中国大陆	9.3	 100
32	速度与激情6	2013	美国	9.3	 130
33	神偷奶爸2	2014	美国	9.3	 99
34	一路逆风	2017	中国大陆	9.3	 90
35	毒液：致命守护者	2018	美国	9.2	 107
36	西虹市首富	2018	中国大陆	9.2	 118
37	你的名字。	2016	日本	9.2	 107
38	前任3：再见前任	2017	中国大陆	9.2	 120
39	龙猫	2018	日本	9.2	 86
40	变形金刚4：绝迹重生	2014	美国	9.2	 166
41	刀剑神域：序列之争	2017	日本	9.2	 122
42	敢死队3	2014	美国	9.2	 127
43	我的少女时代	2015	中国台湾	9.2	 134
44	银河护卫队	2014	美国	9.2	 121
45	奇迹男孩	2018	美国	9.2	 114
46	帕丁顿熊2	2017	英国	9.2	 103
47	苏丹	2018	印度	9.2	 139
48	二十二	2017	中国大陆	9.2	 99
49	亲爱的	2014	中国大陆	9.2	 130
50	印度合伙人	2018	印度	9.2	 134
51	王牌特工：特工学院	2015	英国	9.2	 125
52	暴力街区	2014	法国	9.2	 100
53	“大”人物	2019	中国大陆	9.2	 107
54	神探狗笨吉	2018	美国	9.2	 87
55	美国队长2	2014	美国	9.2	 136
56	极品飞车	2014	美国	9.2	 130
57	欢乐好声音	2017	美国	9.2	 108
58	里约大冒险2	2014	美国	9.2	 101
59	闪光少女	2017	中国大陆	9.2	 103
60	重返·狼群	2017	中国大陆	9.2	 98
61	追鹰日记	2018	奥地利	9.2	 98
62	忠爱无言	2017	中国大陆	9.2	 97
63	熊出没之雪岭熊风	2015	中国大陆	9.2	 96
64	甜蜜蜜	2015	中国香港	9.2	 118
65	只有我知	2015	中国大陆	9.2	 90
66	羞羞的铁拳	2017	中国大陆	9.1	 100
67	老炮儿	2015	中国大陆	9.1	 137
68	大黄蜂	2019	美国	9.1	 114
69	侏罗纪世界	2015	美国	9.1	 124
70	银河护卫队2	2017	美国	9.1	 136
71	黑子的篮球·终极一战	2018	日本	9.1	 91
72	摩天营救	2018	美国	9.1	 102
73	熊出没·变形记	2018	中国大陆	9.1	 90
74	建军大业	2017	中国大陆	9.1	 133
75	熊出没之熊心归来	2016	中国大陆	9.1	 99
76	霍比特人3：五军之战	2015	美国	9.1	 144
77	李宗伟：败者为王	2018	马来西亚	9.1	 110
78	末日崩塌	2015	美国	9.1	 114
79	忍者神龟：变种时代	2014	美国	9.1	 101
80	海洋奇缘	2016	美国	9.1	 107
81	叶问外传：张天志	2018	中国大陆	9.1	 107
82	熊出没·奇幻空间	2017	中国大陆	9.1	 90
83	霍比特人2：史矛革之战	2014	美国	9.1	 161
84	公牛历险记	2018	美国	9.1	 108
85	了不起的菲丽西	2017	法国	9.1	 89
86	昆虫总动员	2014	法国	9.1	 89
87	我的爸爸是森林之王	2017	法国	9.1	 92
88	有一天	2014	中国大陆	9.1	 93
89	雪怪大冒险	2018	美国	9.1	 96
90	生门	2016	中国大陆	9.1	 105
91	血战湘江	2017	中国大陆	9.1	 116
92	捍卫者	2017	中国大陆	9.1	 109
93	熊出没之夺宝熊兵	2014	中国大陆	9.1	 95
94	百鸟朝凤	2016	中国大陆	9.1	 108
95	一个人的课堂	2018	中国大陆	9.1	 105
96	理查大冒险	2017	卢森堡	9.1	 85
97	逆生·致亲爱的小孩	2017	中国大陆	9.1	 103
98	美人鱼	2016	中国大陆	9.0	 93
99	魔兽	2016	美国	9.0	 124
100	唐人街探案2	2018	中国大陆	9.0	 121
101	碟中谍5：神秘国度	2015	美国	9.0	 132
102	功夫熊猫3	2016	美国	9.0	 95
103	碟中谍6：全面瓦解	2018	美国	9.0	 148
104	芳华	2017	中国大陆	9.0	 136
105	火星救援	2015	美国	9.0	 144
106	精灵旅社2	2015	美国	9.0	 89
107	风语咒	2018	中国大陆	9.0	 105
108	哆啦A梦：伴我同行	2015	日本	9.0	 95
109	航海王之黄金城	2016	日本	9.0	 121
110	头号玩家	2018	美国	9.0	 140
111	蓝精灵：寻找神秘村	2017	美国	9.0	 90
112	滚蛋吧！肿瘤君	2015	中国大陆	9.0	 125
113	猩球崛起2：黎明之战	2014	美国	9.0	 130
114	悲伤逆流成河	2018	中国大陆	9.0	 105
115	爱宠大机密	2016	美国	9.0	 86
116	傲娇与偏见	2017	中国大陆	9.0	 108
117	爸，我一定行的	2018	中国大陆	9.0	 100
118	头脑特工队	2015	美国	9.0	 95
119	拆弹·专家	2017	中国大陆	9.0	 120
120	鼠来宝4：萌在囧途	2016	美国	9.0	 92
121	追龙	2017	中国香港	9.0	 128
122	X战警：逆转未来	2014	美国	9.0	 129
123	起跑线	2018	印度	9.0	 131
124	超凡蜘蛛侠2	2014	美国	9.0	 142
125	钢铁侠3	2013	美国	9.0	 134
126	无名之辈	2018	中国大陆	9.0	 108
127	疯狂外星人	2015	美国	9.0	 94
128	海洋之歌	2016	爱尔兰	9.0	 94
129	我们诞生在中国	2016	美国	9.0	 79
130	最后的棒棒	2018	中国大陆	9.0	 99
131	爱在记忆消逝前	2018	意大利	9.0	 112
132	地球：神奇的一天	2017	中国大陆	9.0	 94
133	龙之谷：破晓奇兵	2014	中国大陆	9.0	 88
134	魔发精灵	2016	美国	9.0	 93
135	四个春天	2019	中国大陆	9.0	 105
136	金蝉脱壳	2013	美国	9.0	 116
137	小狗奶瓶	2018	中国大陆	9.0	 92
138	星际迷航：暗黑无界	2013	美国	9.0	 132
139	神秘世界历险记2	2014	中国大陆	9.0	 80
140	旋风九日	2015	中国大陆	9.0	 94
141	生活万岁	2018	中国大陆	9.0	 94
142	狼少年	2013	韩国	9.0	 126
143	天梯：蔡国强的艺术	2017	中国大陆	9.0	 73
144	爱神箭	2016	中国大陆	9.0	 105
145	红楼梦	2015	中国大陆	9.0	 150
146	类似爱情	2014	中国大陆	9.0	 120
147	复仇者联盟3：无限战争	2018	美国	8.9	 150
148	X战警：天启	2016	美国	8.9	 144
149	加勒比海盗5：死无对证	2017	美国	8.9	 129
150	小黄人大眼萌	2015	美国	8.9	 91
151	终结者：创世纪	2015	美国	8.9	 127
152	蚁人	2015	美国	8.9	 117
153	雷神3：诸神黄昏	2017	美国	8.9	 130
154	奇异博士	2016	美国	8.9	 115
155	快把我哥带走	2018	中国大陆	8.9	 115
156	狂暴巨兽	2018	美国	8.9	 108
157	神奇动物在哪里	2016	英国	8.9	 133
158	无双	2018	中国大陆	8.9	 130
159	奇幻森林	2016	美国	8.9	 106
160	无敌破坏王2：大闹互联网	2018	美国	8.9	 113
161	比得兔	2018	美国	8.9	 95
162	超人总动员2	2018	美国	8.9	 126
163	找到你	2018	中国大陆	8.9	 102
164	赛尔号大电影6：圣者无敌	2017	中国大陆	8.9	 98
165	南极之恋	2018	中国大陆	8.9	 114
166	一条狗的使命	2017	美国	8.9	 101
167	至爱梵高·星空之谜	2017	英国	8.9	 95
168	喜欢·你	2017	中国大陆	8.9	 107
169	玛雅蜜蜂历险记	2018	德国	8.9	 88
170	沉睡魔咒	2014	美国	8.9	 97
171	王牌保镖	2017	美国	8.9	 112
172	最后一球	2018	俄罗斯	8.9	 138
173	分手再说我爱你	2015	中国大陆	8.9	 108
174	垫底辣妹	2016	日本	8.9	 117
175	马戏之王	2018	美国	8.9	 106
176	明日边缘	2014	美国	8.9	 114
177	阿唐奇遇	2017	中国大陆	8.9	 99
178	中国合伙人	2013	中国大陆	8.9	 112
179	恐龙王	2018	中国大陆	8.9	 95
180	逗鸟外传：萌宝满天飞	2016	美国	8.9	 87
181	扫毒	2013	中国香港	8.9	 135
182	流浪猫鲍勃	2018	英国	8.9	 103
183	藏羚王	2015	中国大陆	8.9	 83
184	全民目击	2013	中国大陆	8.9	 119
185	魔法总动员	2015	比利时	8.9	 86
186	张艺谋和他的“影”	2018	中国大陆	8.9	 94
187	激战	2013	中国香港	8.9	 121
188	白毛女	2016	中国大陆	8.9	 122
189	胜利大阅兵	2015	中国大陆	8.9	 90
190	第四届香港武侠影展	2015	中国香港	8.9	 120
191	蚁人2：黄蜂女现身	2018	美国	8.8	 119
192	心理罪之城市之光	2017	中国大陆	8.8	 124
193	神偷奶爸3	2017	美国	8.8	 90
194	反贪风暴3	2018	中国大陆	8.8	 100
195	使徒行者	2016	中国香港	8.8	 109
196	大话西游之大圣娶亲	2014	中国香港	8.8	 110
197	春娇救志明	2017	中国香港	8.8	 117
198	赛车总动员3：极速挑战	2017	美国	8.8	 102
199	天才枪手	2017	泰国	8.8	 130
200	妈妈咪鸭	2018	中国大陆	8.8	 90
201	我是马布里	2017	中国大陆	8.8	 110
202	巴霍巴利王2：终结	2018	印度	8.8	 141
203	阿飞正传	2018	中国香港	8.8	 94
204	萨利机长	2016	美国	8.8	 96
205	大耳朵图图之美食狂想曲	2017	中国大陆	8.8	 91
206	海边的曼彻斯特	2017	美国	8.8	 136
207	神秘世界历险记3	2016	中国大陆	8.8	 82
208	您一定不要错过	2018	中国大陆	8.8	 99
209	这里的黎明静悄悄	2015	俄罗斯	8.8	 115
210	守梦者	2015	中国大陆	8.8	 90
211	妈妈咪呀2	2018	美国	8.8	 114
212	诺亚方舟漂流记	2016	德国	8.8	 86
213	冈仁波齐	2017	中国大陆	8.8	 117
214	至暗时刻	2017	英国	8.8	 125
215	森林战士	2013	美国	8.8	 102
216	飞鹰艾迪	2016	英国	8.8	 105
217	大三儿	2018	中国大陆	8.8	 106
218	喊·山	2016	中国大陆	8.8	 113
219	灵狼传奇	2017	俄罗斯	8.8	 88
220	曼德拉	2014	英国	8.8	 147
221	天籁梦想	2018	中国大陆	8.8	 85
222	悲惨世界	2013	英国	8.8	 157
223	被解救的姜戈	2013	美国	8.8	 163
224	你美丽了我的人生	2018	中国大陆	8.8	 91
225	练胆儿	2016	中国大陆	8.8	 99
226	巨齿鲨	2018	美国	8.7	 115
227	王牌特工2：黄金圈	2017	英国	8.7	 139
228	机械师2：复活	2016	法国	8.7	 98
229	精灵旅社3：疯狂假期	2018	美国	8.7	 98
230	冰川时代5：星际碰撞	2016	美国	8.7	 95
231	极限特工：终极回归	2017	美国	8.7	 107
232	超时空同居	2018	中国大陆	8.7	 101
233	愤怒的小鸟	2016	芬兰	8.7	 97
234	蜘蛛侠：平行宇宙	2018	美国	8.8	 116
235	全球风暴	2017	美国	8.7	 109
236	十万个冷笑话2	2017	中国大陆	8.7	 101
237	空天猎	2017	中国大陆	8.7	 115
238	乘风破浪	2017	中国大陆	8.7	 102
239	精灵王座	2016	中国大陆	8.7	 104
240	七月与安生	2016	中国大陆	8.7	 110
241	神秘世界历险记4	2018	中国大陆	8.7	 83
242	鲁滨逊漂流记	2016	比利时	8.7	 91
243	小马宝莉大电影	2018	美国	8.7	 100
244	念念手纪	2018	日本	8.7	 116
245	恋爱回旋	2018	日本	8.7	 119
246	赛尔号大电影5：雷神崛起	2015	中国大陆	8.7	 90
247	失业生	2017	中国香港	8.7	 96
248	舌尖上的新年	2016	中国大陆	8.7	 89
249	老爸102岁	2018	印度	8.7	 102
250	绿毛怪格林奇	2018	美国	8.7	 90
251	奎迪：英雄再起	2019	美国	8.7	 130
252	非凡任务	2017	中国大陆	8.7	 122
253	相爱相亲	2017	中国大陆	8.7	 120
254	环太平洋	2013	美国	8.7	 131
255	怪兽大学	2013	美国	8.7	 104
256	雷神2：黑暗世界	2013	美国	8.7	 112
257	勇士	2016	中国大陆	8.7	 102
258	雄狮	2017	澳大利亚	8.7	 119
259	跨越8年的新娘	2018	日本	8.7	 120
260	勇往直前	2017	美国	8.7	 127
261	惊天危机	2013	美国	8.7	 132
262	精灵旅社	2013	美国	8.7	 91
263	阿拉姜色	2018	中国大陆	8.7	 109
264	大象林旺之一炮成名	2017	中国大陆	8.7	 77
265	幸运是我	2016	中国香港	8.7	 113
266	照相师	2018	中国大陆	8.7	 112
267	我的妈呀	2017	中国香港	8.7	 98
268	摇摇晃晃的人间	2017	中国大陆	8.7	 89
269	他们在岛屿写作：化城再来人	2013	中国台湾	8.7	 163
270	侏罗纪世界2	2018	美国	8.6	 128
271	美国队长3	2016	美国	8.6	 148
273	忍者神龟2：破影而出	2016	美国	8.6	 113
274	从你的全世界路过	2016	中国大陆	8.6	 113
275	星际迷航3：超越星辰	2016	美国	8.6	 122
276	寒战2	2016	中国大陆	8.6	 110
277	正义联盟	2017	美国	8.6	 120
278	神奇女侠	2017	美国	8.6	 142
279	胖子行动队	2018	中国大陆	8.6	 109
280	记忆大师	2017	中国大陆	8.6	 119
281	佩小姐的奇幻城堡	2016	美国	8.6	 126
282	勇敢者游戏：决战丛林	2018	美国	8.6	 119
283	嫌疑人x的献身	2017	中国大陆	8.6	 112
284	大师兄	2018	中国大陆	8.6	 100
285	谁的青春不迷茫	2016	中国大陆	8.6	 108
286	憨豆特工3	2018	法国	8.6	 88
287	机器之血	2017	中国大陆	8.6	 110
288	金刚狼3：殊死一战	2017	美国	8.6	 123
289	来电狂响	2018	中国大陆	8.6	 103
290	美食大冒险之英雄烩	2018	中国大陆	8.6	 98
291	无问西东	2018	中国大陆	8.6	 138
292	命运之夜——天之杯：恶兆之花	2019	日本	8.6	 119
293	新大头儿子和小头爸爸3：俄罗斯奇遇记	2018	中国大陆	8.6	 80
294	哆啦A梦：大雄的南极冰冰凉大冒险	2017	日本	8.6	 101
295	九条命	2016	法国	8.6	 87
296	名侦探柯南：纯黑的恶梦	2016	日本	8.6	 112
297	情圣	2016	中国大陆	8.6	 116
298	爱乐之城	2017	美国	8.6	 129
299	三块广告牌	2018	美国	8.6	 115
300	花滑女王	2018	俄罗斯	8.6	 90
301	缘份	2016	中国香港	8.6	 96
302	奥拉星：进击圣殿	2015	中国大陆	8.6	 92
303	龙在哪里？	2015	中国大陆	8.6	 97
304	新大头儿子和小头爸爸2一日成才	2016	中国大陆	8.6	 85
305	摇滚藏獒	2016	中国大陆	8.6	 93
306	嘻哈英熊	2018	中国大陆	8.6	 86
307	铁拳	2016	美国	8.6	 124
308	玩偶奇兵	2017	中国大陆	8.6	 88
309	猫与桃花源	2018	中国大陆	8.6	 105
310	七十七天	2017	中国大陆	8.6	 115
311	龙之战	2017	中国大陆	8.6	 112
312	归来	2014	中国大陆	8.6	 111
313	猪猪侠之英雄猪少年	2017	中国大陆	8.6	 91
314	网络谜踪	2018	美国	8.6	 103
315	兄弟班	2018	中国香港	8.6	 102
316	那些女人	2018	中国大陆	8.6	 114
317	警车联盟	2018	中国大陆	8.6	 88
318	超人：钢铁之躯	2013	美国	8.6	 144
319	天台爱情	2013	中国大陆	8.6	 117
320	银河守卫队	2017	中国香港	8.6	 94
321	坚不可摧	2015	美国	8.6	 137
322	萤火奇兵	2017	中国大陆	8.6	 85
323	少年师爷之大禹宝藏	2016	中国大陆	8.6	 87
324	暹罗决：九神战甲	2018	泰国	8.6	 104
325	大明猩	2013	韩国	8.6	 135
326	我的爸爸是国王	2017	中国大陆	8.6	 84
327	北极大冒险	2016	加拿大	8.6	 92
328	凤凰谷	2016	中国大陆	8.6	 95
329	地球四季	2016	法国	8.6	 96
330	逆光飞翔	2013	中国台湾	8.6	 107
331	少年时代	2014	美国	8.6	 165
332	惊天魔盗团2	2016	美国	8.5	 126
333	北京遇上西雅图之不二情书	2016	中国大陆	8.5	 132
334	绝地逃亡	2016	中国大陆	8.5	 111
335	昨日青空	2018	中国大陆	8.5	 85
336	生化危机：终章	2017	美国	8.5	 99
337	爱丽丝梦游仙境2：镜中奇遇记	2016	美国	8.5	 115
338	动物世界	2018	中国大陆	8.5	 132
339	杀破狼·贪狼	2017	中国香港	8.5	 101
340	解忧杂货店	2017	中国大陆	8.5	 109
341	海底总动员2：多莉去哪儿	2016	美国	8.5	 97
342	荒野猎人	2016	美国	8.5	 156
343	28岁未成年	2016	中国大陆	8.5	 109
344	二代妖精之今生有幸	2017	中国大陆	8.5	 110
345	所以……和黑粉结婚了	2016	中国大陆	8.5	 99
346	伦敦陷落	2016	美国	8.5	 98
347	绣春刀II：修罗战场	2017	中国大陆	8.5	 120
348	灰姑娘	2015	美国	8.5	 106
349	神战：权力之眼	2016	美国	8.5	 128
350	铁道飞虎	2016	中国大陆	8.5	 124
351	泰山归来：险战丛林	2016	美国	8.5	 110
352	海绵宝宝	2015	美国	8.5	 93
353	超级快递	2016	中国大陆	8.5	 91
354	淘气大侦探	2018	英国	8.5	 86
355	太空旅客	2017	美国	8.5	 116
356	陆垚知马俐	2016	中国大陆	8.5	 107
357	非常父子档	2016	中国大陆	8.5	 100
358	驴得水	2016	中国大陆	8.5	 111
359	蜡笔小新：梦境世界大突击	2016	日本	8.5	 98
360	巴霍巴利王：开端	2016	印度	8.5	 129
361	阿凡提之奇缘历险	2018	中国大陆	8.5	 85
362	追凶者也	2016	中国大陆	8.5	 110
363	完美陌生人	2018	意大利	8.5	 96
364	第七个小矮人	2018	德国	8.5	 87
365	昆塔：反转星球	2017	中国大陆	8.5	 94
366	帝企鹅日记2：召唤	2018	法国	8.5	 85
367	虎胆追凶	2018	美国	8.5	 97
368	汪星卧底	2018	美国	8.5	 93
369	原谅他77次	2017	中国香港	8.5	 97
370	厕所英雄	2018	印度	8.5	 150
371	生存家族	2018	日本	8.5	 117
372	黄金花	2018	中国大陆	8.5	 91
373	魔弦传说	2017	美国	8.5	 102
374	乐高蝙蝠侠大电影	2017	美国	8.5	 105
375	不惧风暴	2014	美国	8.5	 89
376	我是哪吒	2016	中国大陆	8.5	 83
377	小悟空	2018	中国大陆	8.5	 85
378	喜马拉雅天梯	2015	中国大陆	8.5	 89
379	刺猬小子之天生我刺	2016	中国大陆	8.5	 94
380	金龟子	2018	中国大陆	8.5	 77
381	大卫贝肯之倒霉特工熊	2017	中国大陆	8.5	 86
382	足球王者	2018	中国大陆	8.4	 90
383	潜艇总动员之时光宝盒	2015	中国大陆	8.5	 80
384	超能龙骑侠	2017	中国大陆	8.5	 86
